PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,gind_15,gind_20,gind_25,gind_30,gind_35,gind_40,gind_45,gind_50,gind_55,gind_60,y_t+2
10039_2015,0.009414014722783987,0.013777787871697506,0.882347557171957,0.8853639656018193,0.08157123010637253,0.11767062559412222,1.5246015220724594,1.4484893140423807,0.058031829027732414,0.05161073130811924,-11.499930911130848,-11.497734408760145,-0.08768129352386798,-0.04094054645680985,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2016,0.013777787871697506,0.010260042707573616,0.8853639656018193,0.8647334340563412,0.11767062559412222,0.14171809946630382,1.4484893140423807,1.7035535655747451,0.05161073130811924,0.05799774624299625,-11.497734408760145,-11.15881005923748,-0.04094054645680985,0.2979966095691331,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2017,0.010260042707573616,0.010303493145029659,0.8647334340563412,0.8153651242922919,0.14171809946630382,0.14205386365156975,1.7035535655747451,2.245818328677683,0.05799774624299625,0.07163203825291714,-11.15881005923748,-10.734336301834992,0.2979966095691331,0.32669301452137217,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10059_2015,0.017699171543988472,0.006081798321846529,0.07351008622227677,0.05821860520360655,0.02070696662801697,0.01924348149995305,4.032559778840636,4.295165823065907,0.14083391344873886,0.0977268624724066,-11.053233365748847,-11.006035589858213,0.22430596816451315,0.1346342547951742,2.7080502011022096,2.7080502011022096,0,0,0,1,0,0,0,0,0,0,0.0
10059_2016,0.006081798321846529,0.0098801555172552,0.05821860520360655,0.09850595214237044,0.01924348149995305,0.041960599623231384,4.295165823065907,3.0639904366839,0.0977268624724066,0.13474448630591296,-11.006035589858213,-11.507712686764297,0.1346342547951742,-0.5218749089867188,2.7080502011022096,2.4069451083182885,0,0,0,1,0,0,0,0,0,0,0.0
10059_2017,0.0098801555172552,0.01710031875701966,0.09850595214237044,0.08608651414499634,0.041960599623231384,0.043313598415308185,3.0639904366839,2.9931639328032222,0.13474448630591296,0.18703028455112575,-11.507712686764297,-11.548568175007933,-0.5218749089867188,-0.2509179147942863,2.4069451083182885,2.4432162227337915,0,0,0,1,0,0,0,0,0,0,0.0
10107_2015,0.04354190608184042,0.031767491784039814,0.01568864069225755,0.019248669671141982,0.12878982582928106,0.10403833516330173,2.7711200393690953,3.2366863034748703,0.05076833035120186,0.03126963185072959,-8.459918714089833,-8.579396395529274,0.06813993901188736,-0.12614932196404632,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10107_2016,0.031767491784039814,0.02780343519719535,0.019248669671141982,0.055853329582336325,0.10403833516330173,0.02862565401687572,3.2366863034748703,3.2430615795807043,0.03126963185072959,0.06402552793383467,-8.579396395529274,-8.584409663975787,-0.12614932196404632,-0.054923810923318,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10107_2017,0.02780343519719535,0.02347018644281553,0.055853329582336325,0.05622928841861452,0.02862565401687572,0.021529014488947,3.2430615795807043,3.4678115765522173,0.06402552793383467,0.06978986269243298,-8.584409663975787,-8.521613568287659,-0.054923810923318,0.07485077747147048,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10110_2015,0.030015180013410088,0.027520857489949882,0.28679891859537543,0.4305263746843161,0.010726801593144573,0.009815383962386098,2.6635119719183478,2.1044413759372995,0.07583991426340098,0.13561241137496605,-9.125699705048737,-9.463245857673698,0.04564770652458755,-0.2491652160040671,2.7080502011022096,2.7080502011022096,0,1,0,0,0,0,0,0,0,0,0.0
10110_2016,0.027520857489949882,-0.0227460936648724,0.4305263746843161,0.4243508510035522,0.009815383962386098,0.013245853945561924,2.1044413759372995,1.4649503360841207,0.13561241137496605,0.14096697422911067,-9.463245857673698,-9.960625354831414,-0.2491652160040671,-0.3915392383977209,2.7080502011022096,2.7080502011022096,0,1,0,0,0,0,0,0,0,0,0.0
10110_2017,-0.0227460936648724,-0.024542548176312927,0.4243508510035522,0.3403459450993064,0.013245853945561924,0.01277075810883017,1.4649503360841207,1.9215027023793816,0.14096697422911067,0.07443359435673981,-9.960625354831414,-9.798777915669383,-0.3915392383977209,0.1637444354193608,2.7080502011022096,2.7080502011022096,0,1,0,0,0,0,0,0,0,0,0.0
10147_2015,-0.2348074597804992,-1.7192707782612522,0.4983175329720316,0.3124880600025413,0.31900723903576506,0.058733680522543165,0.6532527567151166,0.7028190096555762,0.24919924651825115,0.19592276727360727,-11.410965252246392,-12.378274482328461,-0.9293950054162068,-1.0288487687137748,1.5085119938441398,0.5933268452777344,0,0,0,0,0,0,0,0,0,0,0.0
10147_2016,-1.7192707782612522,-3.039807070781832,0.3124880600025413,0.3261231589075568,0.058733680522543165,0.23934201761527646,0.7028190096555762,0.6195772740573389,0.19592276727360727,0.5514782758287077,-12.378274482328461,-13.61602228220674,-1.0288487687137748,-0.4112546836359128,0.5933268452777344,-0.8556661100577202,0,0,0,0,0,0,0,0,0,0,0.0
10147_2017,-3.039807070781832,0.8742811289706174,0.3261231589075568,0.10372493062459534,0.23934201761527646,0.8323209930696828,0.6195772740573389,0.7101258463906738,0.5514782758287077,0.5217459079021299,-13.61602228220674,-12.550837080227234,-0.4112546836359128,2.298459120581419,-0.8556661100577202,1.8213182714695997,0,0,0,0,0,0,0,0,0,0,0.0
10210_2015,0.08199845318565709,0.0221579341310452,0.06627925770811323,0.15741899461576414,0.22394980415285595,0.08057419641146517,1.766922442430503,2.3551158286651064,0.0945043321922794,0.11562470976830393,-9.469544575813511,-9.420531566882113,-0.5336710539815687,0.15435618374584992,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,1,0,0,0,0.0
10210_2016,0.0221579341310452,0.04749960839621566,0.15741899461576414,0.1238685897188379,0.08057419641146517,0.08812766056686863,2.3551158286651064,2.2767825447100565,0.11562470976830393,0.08952109466049947,-9.420531566882113,-9.16981007336063,0.15435618374584992,0.08634300530602268,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,1,0,0,0,0.0
10210_2017,0.04749960839621566,0.06273269377009923,0.1238685897188379,0.0628693464227842,0.08812766056686863,0.1083083948246254,2.2767825447100565,2.7349715064350404,0.08952109466049947,0.07014674215884155,-9.16981007336063,-8.576502213614,0.08634300530602268,0.3445047764377415,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,1,0,0,0,0.0
10218_2015,0.007925520116039725,0.0101039712106854,0.8547279215931304,0.8560714812045259,0.029278505179629075,0.027901887587820043,1.2500681341140338,1.1585190320184613,0.054628603860862365,0.0590757925078764,-9.91387098586193,-9.965980682148508,0.20191017449059076,-0.06708023599815313,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10218_2016,0.0101039712106854,0.00941566417506684,0.8560714812045259,0.8511444177894821,0.027901887587820043,0.019366597280433502,1.1585190320184613,1.1898962222861305,0.0590757925078764,0.04092245063345877,-9.965980682148508,-9.759406684924263,-0.06708023599815313,0.12987415742697164,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10218_2017,0.00941566417506684,0.01032453610062305,0.8511444177894821,0.8037821601987738,0.019366597280433502,0.019411416987199958,1.1898962222861305,1.5955547671794417,0.04092245063345877,0.07754655646566083,-9.759406684924263,-9.434171279559516,0.12987415742697164,0.3558166098436845,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10224_2015,0.041533405947417217,0.0377153274575316,0.35807531051771063,0.3134925510080473,0.18888912014393314,0.1671416163294481,2.1012412162208194,2.3029436863387946,0.08183492298345016,0.05306324925838368,-6.919214390909536,-6.9377667464764645,-0.13017943259946868,0.03803399488790751,2.7080502011022096,2.7080502011022096,0,0,0,0,0,0,1,0,0,0,0.0
