PERMCO,dlrsn
5,0.0
7,0.0
59,0.0
90,0.0
92,0.0
116,0.0
137,0.0
153,0.0
157,0.0
176,0.0
194,0.0
211,0.0
216,0.0
261,0.0
282,0.0
317,0.0
323,0.0
357,0.0
362,0.0
370,0.0
374,0.0
392,0.0
397,0.0
430,0.0
458,1.0
469,0.0
475,0.0
511,0.0
537,0.0
544,0.0
579,0.0
589,0.0
614,0.0
644,0.0
676,0.0
678,0.0
682,0.0
727,0.0
737,0.0
779,0.0
780,0.0
781,0.0
840,0.0
841,0.0
892,0.0
904,0.0
912,0.0
913,0.0
925,0.0
1035,0.0
1071,0.0
1072,0.0
1103,0.0
1167,0.0
1177,0.0
1186,0.0
1222,0.0
1239,0.0
1260,0.0
1261,0.0
1263,0.0
1285,0.0
1344,0.0
1354,0.0
1367,0.0
1418,0.0
1425,0.0
1451,0.0
1467,0.0
1477,0.0
1507,0.0
1513,0.0
1519,0.0
1543,0.0
1557,0.0
1582,0.0
1620,0.0
1629,0.0
1632,0.0
1645,0.0
1658,0.0
1685,0.0
1686,0.0
1688,0.0
1689,0.0
1693,1.0
1741,0.0
1768,0.0
1810,0.0
1824,0.0
1830,0.0
1847,0.0
1852,0.0
1856,0.0
1868,0.0
1892,0.0
1940,0.0
2002,0.0
2004,0.0
2072,0.0
2075,0.0
2088,0.0
2093,0.0
2105,0.0
2116,0.0
2130,0.0
2183,0.0
2191,0.0
2235,0.0
2238,0.0
2253,0.0
2293,0.0
2343,1.0
2366,0.0
2367,0.0
2427,0.0
2488,0.0
2498,0.0
2502,0.0
2527,0.0
2535,0.0
2551,0.0
2552,0.0
2572,0.0
2577,0.0
2600,0.0
2612,0.0
2615,0.0
2636,0.0
2664,0.0
2706,0.0
2709,0.0
2728,0.0
2736,0.0
2767,0.0
2775,0.0
2784,0.0
2847,0.0
2850,0.0
2913,0.0
2949,0.0
2971,0.0
3021,0.0
3031,0.0
3048,0.0
3074,0.0
3083,0.0
3091,0.0
3102,0.0
3104,0.0
3133,0.0
