PERMCO,dlrsn
614,0.0
676,0.0
1354,0.0
1477,0.0
1519,0.0
1582,0.0
1768,0.0
1810,0.0
1847,0.0
1892,0.0
2116,0.0
2615,0.0
2636,0.0
2664,0.0
2709,0.0
2728,0.0
3178,0.0
3194,0.0
3217,0.0
3218,0.0
3902,0.0
4147,0.0
4275,1.0
4295,0.0
4373,1.0
4450,0.0
4522,0.0
4685,0.0
4814,0.0
4905,0.0
5085,0.0
5169,0.0
5242,0.0
5957,0.0
6058,0.0
6104,0.0
6149,0.0
6342,0.0
6377,1.0
6760,0.0
6765,0.0
6959,0.0
7093,0.0
7184,0.0
7195,0.0
7506,0.0
7557,0.0
7636,1.0
7684,0.0
7869,0.0
7914,0.0
7978,0.0
8037,0.0
8372,0.0
8431,0.0
8549,0.0
8586,0.0
8762,0.0
8820,0.0
9023,0.0
9117,0.0
9169,0.0
9222,0.0
9576,0.0
9764,0.0
9798,0.0
9857,0.0
10279,0.0
10419,0.0
10467,0.0
10594,0.0
10651,0.0
10831,0.0
10855,0.0
10959,0.0
10962,0.0
10992,0.0
11005,0.0
11018,0.0
11052,0.0
11123,0.0
11281,1.0
11439,0.0
11446,0.0
11470,0.0
11482,0.0
11506,0.0
11558,0.0
11559,0.0
11592,0.0
11706,0.0
11934,0.0
11960,0.0
11980,0.0
12014,0.0
12015,0.0
12036,0.0
12053,0.0
12074,0.0
12097,0.0
12185,0.0
12194,0.0
12240,0.0
12339,0.0
12378,0.0
12384,0.0
12452,1.0
12482,1.0
12484,0.0
12523,0.0
12546,0.0
12557,0.0
12639,1.0
12669,0.0
12863,0.0
13001,0.0
13019,1.0
13087,0.0
13115,0.0
13239,1.0
13273,0.0
13401,1.0
13422,0.0
13479,0.0
13524,0.0
13585,0.0
13603,0.0
13801,0.0
13913,0.0
14046,0.0
14049,0.0
14191,0.0
14521,0.0
14582,0.0
14589,0.0
14838,0.0
14888,0.0
14910,1.0
14957,0.0
15025,0.0
15037,0.0
15061,0.0
15098,0.0
15243,0.0
15293,1.0
15473,0.0
15494,0.0
15597,1.0
15697,0.0
15715,0.0
15800,0.0
15812,0.0
15826,0.0
15934,0.0
16011,1.0
16029,0.0
16094,0.0
16108,0.0
16169,0.0
16285,0.0
16332,0.0
16421,0.0
16454,0.0
16506,0.0
16612,0.0
16695,0.0
17164,1.0
17207,1.0
17317,0.0
17323,0.0
17491,0.0
20232,0.0
20309,0.0
20342,0.0
20344,0.0
20394,0.0
20409,0.0
20426,1.0
20505,0.0
20518,0.0
20556,0.0
20561,0.0
20584,0.0
20642,0.0
20685,1.0
20733,0.0
20750,0.0
20805,0.0
20807,0.0
20834,0.0
20837,1.0
20875,1.0
20881,0.0
20887,0.0
20915,0.0
20942,0.0
20987,1.0
21037,0.0
21130,0.0
21168,0.0
21177,0.0
21195,0.0
21242,0.0
21348,0.0
21349,0.0
21375,0.0
21402,0.0
21405,0.0
21425,0.0
21538,0.0
21599,0.0
21658,0.0
21693,0.0
21694,0.0
21753,0.0
21849,0.0
21888,0.0
21916,0.0
21927,0.0
21935,0.0
21936,0.0
21949,0.0
22200,0.0
22856,0.0
25865,0.0
26268,0.0
27626,0.0
27849,0.0
29009,0.0
29031,0.0
29432,0.0
29494,0.0
29780,0.0
29819,0.0
29935,0.0
29936,0.0
29969,0.0
29992,0.0
30005,0.0
30036,0.0
30251,0.0
30388,0.0
30829,0.0
30886,0.0
30911,1.0
30953,0.0
31647,0.0
31710,0.0
31749,0.0
31764,0.0
31780,0.0
31841,0.0
31933,0.0
31946,0.0
32009,0.0
32093,0.0
32099,0.0
32111,0.0
32122,0.0
32132,0.0
32159,1.0
32164,0.0
34625,0.0
34715,0.0
34769,1.0
34782,0.0
34788,0.0
34898,0.0
34964,0.0
34988,0.0
35167,0.0
35272,0.0
36363,1.0
37185,0.0
37472,0.0
37666,0.0
37720,0.0
40143,0.0
41257,0.0
41703,1.0
42910,1.0
42915,0.0
42918,1.0
43146,0.0
43250,0.0
43253,0.0
43328,0.0
43332,0.0
43519,0.0
43620,0.0
43626,0.0
43633,0.0
43722,0.0
43983,0.0
44117,0.0
44118,0.0
44168,0.0
44497,0.0
44506,0.0
45283,1.0
45379,0.0
45477,0.0
45566,0.0
45680,0.0
45696,0.0
45732,0.0
46691,0.0
46697,0.0
46858,0.0
46874,0.0
47013,0.0
47212,0.0
47217,0.0
47428,0.0
50589,0.0
50692,0.0
50841,0.0
50855,0.0
50965,0.0
51093,0.0
51096,0.0
51304,1.0
52366,0.0
52369,0.0
52547,0.0
52670,0.0
52788,0.0
52969,0.0
53063,0.0
53132,0.0
53156,0.0
53183,0.0
53237,0.0
53248,0.0
53406,0.0
53440,0.0
53444,0.0
53453,0.0
53472,0.0
53493,0.0
53546,0.0
53710,0.0
53720,0.0
53843,0.0
53844,0.0
54031,0.0
54061,0.0
54077,0.0
54141,0.0
54146,0.0
54162,0.0
54170,0.0
54209,0.0
54303,0.0
54366,0.0
54368,0.0
54407,0.0
54431,0.0
54499,0.0
54509,0.0
54566,0.0
54574,0.0
54577,0.0
54615,0.0
54701,0.0
54721,0.0
54763,0.0
54786,0.0
54805,0.0
54813,0.0
54831,0.0
54888,0.0
54891,0.0
54909,0.0
54920,0.0
54960,0.0
55000,0.0
55042,0.0
55060,0.0
55064,0.0
55082,0.0
55162,0.0
55229,0.0
55244,0.0
55245,0.0
55281,0.0
55289,0.0
55291,0.0
55299,0.0
55321,0.0
55342,0.0
55358,0.0
55362,0.0
55366,0.0
55373,0.0
55381,0.0
55386,0.0
55401,0.0
55431,0.0
55548,0.0
55565,0.0
55677,0.0
55715,0.0
55775,0.0
55777,0.0
55874,0.0
55893,0.0
55904,0.0
55909,0.0
55967,0.0
55977,0.0
56019,0.0
56030,0.0
56051,0.0
56056,0.0
56061,0.0
56081,0.0
56087,0.0
56093,0.0
56105,0.0
56248,0.0
56300,0.0
56358,0.0
56383,0.0
56392,0.0
56473,0.0
56491,0.0
56500,0.0
56501,0.0
56504,0.0
56513,0.0
56542,0.0
