PERMCO,dlrsn
5,0.0
90,0.0
92,0.0
137,0.0
261,0.0
362,0.0
475,0.0
537,0.0
544,0.0
579,0.0
589,0.0
779,0.0
780,0.0
781,0.0
840,0.0
841,0.0
912,0.0
913,0.0
1167,0.0
1261,0.0
1451,0.0
1620,0.0
1645,0.0
1658,0.0
1689,0.0
1741,0.0
1856,0.0
1940,0.0
2093,0.0
2253,0.0
2343,1.0
2502,0.0
2535,0.0
2913,0.0
3151,0.0
3262,0.0
3275,0.0
3305,0.0
3363,0.0
3624,0.0
3682,0.0
3685,0.0
3771,0.0
3860,0.0
4040,0.0
4120,0.0
4163,0.0
4234,0.0
4260,0.0
4293,0.0
4643,0.0
4673,0.0
4678,0.0
4818,0.0
5057,0.0
5342,0.0
5440,0.0
5679,0.0
5856,0.0
5860,0.0
5908,0.0
5926,0.0
5974,0.0
6137,0.0
6185,0.0
6281,0.0
6407,0.0
6412,0.0
6736,0.0
6827,0.0
6944,0.0
7067,0.0
7094,0.0
7177,0.0
7407,0.0
7460,0.0
7585,0.0
7676,0.0
7720,0.0
7764,0.0
7784,0.0
7788,0.0
7850,0.0
7863,0.0
7871,0.0
7911,1.0
8087,0.0
8120,0.0
8158,0.0
8179,0.0
8228,0.0
8292,0.0
8325,1.0
8523,0.0
8534,0.0
8674,0.0
8677,0.0
8727,0.0
8766,0.0
8778,0.0
8810,0.0
8811,0.0
8879,0.0
8889,0.0
9053,0.0
9058,0.0
9096,0.0
9141,0.0
9147,0.0
9193,0.0
9213,0.0
9239,0.0
9280,0.0
9418,0.0
9438,0.0
9449,0.0
9588,0.0
9645,0.0
9847,0.0
9999,0.0
10039,0.0
10218,0.0
10299,0.0
10372,0.0
10421,0.0
10563,0.0
10743,0.0
10805,0.0
10905,0.0
10954,0.0
11001,0.0
11099,0.0
11103,0.0
11106,0.0
11225,0.0
11371,0.0
11403,0.0
11479,0.0
11480,0.0
11508,0.0
11516,0.0
11576,0.0
11691,0.0
11764,0.0
11950,0.0
11981,0.0
12038,0.0
12058,0.0
12086,0.0
12139,0.0
12221,0.0
12289,0.0
12412,0.0
12461,0.0
12462,0.0
12503,0.0
12525,0.0
12561,0.0
12608,0.0
12618,0.0
12627,0.0
12721,0.0
12848,0.0
12949,0.0
12951,0.0
12994,0.0
13092,0.0
13187,0.0
13294,0.0
13396,0.0
13413,0.0
13594,1.0
13657,0.0
13662,0.0
13712,1.0
13810,0.0
13840,0.0
13912,0.0
13966,0.0
13971,0.0
14013,0.0
14091,0.0
14124,0.0
14157,0.0
14283,0.0
14355,0.0
14480,1.0
14499,0.0
14531,0.0
14633,0.0
14648,0.0
14687,0.0
14751,0.0
14762,0.0
14778,0.0
14795,0.0
14915,0.0
14969,0.0
15152,0.0
15307,0.0
15370,0.0
15385,0.0
15450,0.0
15454,0.0
15468,0.0
15490,0.0
15547,0.0
15596,0.0
15612,1.0
15657,0.0
15734,0.0
15909,0.0
15918,0.0
15921,0.0
15926,0.0
15933,0.0
15982,1.0
15993,0.0
16015,1.0
16026,0.0
16028,0.0
16032,0.0
16035,0.0
16037,0.0
16071,1.0
16084,0.0
16107,0.0
16174,0.0
16177,0.0
16222,0.0
16290,0.0
16300,0.0
16310,0.0
16313,0.0
16347,0.0
16365,0.0
16367,0.0
16374,0.0
16402,0.0
16457,0.0
16464,0.0
16470,0.0
16476,1.0
16487,0.0
16488,0.0
16526,0.0
16572,0.0
16578,0.0
16581,0.0
16609,0.0
16640,0.0
16649,0.0
16755,1.0
17128,0.0
17183,0.0
17469,0.0
17502,0.0
17665,0.0
17667,0.0
17669,0.0
20015,0.0
20043,0.0
20048,0.0
20203,0.0
20260,0.0
20265,0.0
20363,0.0
20378,0.0
20381,0.0
20436,0.0
20483,0.0
20610,0.0
20695,0.0
20707,0.0
20723,1.0
20732,1.0
20938,0.0
20974,0.0
21092,0.0
21097,0.0
21105,0.0
21113,0.0
21114,0.0
21128,0.0
21158,0.0
21179,0.0
21224,0.0
21305,0.0
21372,0.0
21478,0.0
21551,0.0
21578,0.0
21744,1.0
21764,0.0
21798,0.0
22096,0.0
26284,0.0
27739,0.0
27785,1.0
28947,0.0
29052,0.0
29067,0.0
29347,0.0
29493,0.0
29505,0.0
29565,0.0
29577,0.0
29602,0.0
29796,0.0
29863,0.0
29870,0.0
30430,1.0
30513,0.0
30929,0.0
30958,0.0
30970,0.0
30977,0.0
30985,0.0
31386,0.0
31661,0.0
31665,0.0
31689,0.0
31700,0.0
31755,0.0
31854,0.0
31896,0.0
31907,0.0
32056,0.0
32069,0.0
32075,0.0
32098,0.0
32101,0.0
32136,0.0
32183,0.0
32185,0.0
34666,0.0
34672,0.0
34710,0.0
34753,1.0
34765,0.0
34846,0.0
34857,0.0
34897,1.0
34992,0.0
35010,0.0
35031,0.0
35048,0.0
35205,0.0
36336,0.0
36338,0.0
37138,0.0
37177,0.0
37659,0.0
37672,0.0
37716,0.0
37718,0.0
37737,0.0
37750,0.0
37905,0.0
38399,0.0
40153,0.0
40193,0.0
41388,0.0
41393,0.0
41460,0.0
41464,0.0
41564,0.0
41694,0.0
41698,0.0
41815,0.0
41860,0.0
41975,0.0
41979,0.0
42285,0.0
42291,0.0
42549,0.0
42909,0.0
42912,0.0
43010,1.0
43147,0.0
43260,0.0
43261,0.0
43281,0.0
43340,0.0
43449,0.0
44055,0.0
44059,0.0
44193,0.0
44292,0.0
44293,0.0
44379,1.0
44492,1.0
44503,0.0
44990,0.0
44995,0.0
44999,0.0
45059,0.0
45077,0.0
45078,0.0
45174,0.0
45176,0.0
45295,0.0
45430,0.0
45467,0.0
45559,0.0
45709,0.0
46112,0.0
46441,0.0
46443,0.0
46444,0.0
46687,0.0
46692,0.0
46694,0.0
46844,0.0
46853,0.0
46855,0.0
46883,0.0
46890,0.0
46997,0.0
47022,0.0
47422,0.0
47877,0.0
47880,0.0
47887,0.0
50311,1.0
50594,0.0
50724,0.0
50729,0.0
50731,0.0
50737,0.0
50830,0.0
50861,0.0
50865,0.0
50979,0.0
51094,0.0
51209,0.0
51306,0.0
51635,0.0
51969,0.0
52134,0.0
52140,0.0
52142,0.0
52268,0.0
52293,0.0
52295,0.0
52370,0.0
52388,0.0
52396,0.0
52536,1.0
52681,0.0
52773,0.0
52778,0.0
52785,0.0
52811,0.0
52970,0.0
53021,0.0
53025,0.0
53026,0.0
53033,0.0
53043,0.0
53060,0.0
53077,0.0
53097,0.0
53098,0.0
53141,0.0
53168,0.0
53179,0.0
53187,0.0
53194,0.0
53205,0.0
53238,0.0
53244,0.0
53368,0.0
53383,0.0
53395,0.0
53400,0.0
53402,0.0
53407,0.0
53447,0.0
53462,0.0
53463,0.0
53520,0.0
53539,0.0
53687,0.0
53688,0.0
53724,0.0
53727,0.0
53755,0.0
53803,0.0
53821,0.0
53847,0.0
53882,0.0
53883,0.0
54013,0.0
54035,0.0
54065,0.0
54080,0.0
54082,0.0
54147,0.0
54149,0.0
54151,0.0
54169,0.0
54180,0.0
54229,0.0
54231,0.0
54336,0.0
54342,0.0
54352,0.0
54362,0.0
54377,0.0
54382,0.0
54390,0.0
54396,0.0
54398,0.0
54399,0.0
54408,0.0
54412,0.0
54417,0.0
54422,0.0
54438,0.0
54480,0.0
54503,0.0
54552,0.0
54567,0.0
54575,0.0
54593,0.0
54598,0.0
54771,0.0
54773,0.0
54780,0.0
54789,0.0
54803,0.0
54809,0.0
54822,0.0
54824,0.0
54825,0.0
54827,0.0
54828,0.0
54837,0.0
54841,0.0
54854,0.0
54858,0.0
54861,0.0
54870,0.0
54936,0.0
54940,0.0
54959,0.0
54997,0.0
55006,0.0
55013,0.0
55026,0.0
55027,0.0
55050,0.0
55062,0.0
55075,0.0
55085,0.0
55100,0.0
55170,0.0
55205,0.0
55235,0.0
55319,0.0
55349,0.0
55354,0.0
55361,0.0
55369,0.0
55384,0.0
55391,0.0
55403,0.0
55451,0.0
55567,0.0
55587,0.0
55617,0.0
55624,0.0
55628,0.0
55670,0.0
55685,0.0
55691,0.0
55705,0.0
55712,0.0
55745,0.0
55756,0.0
55886,0.0
55887,0.0
55890,0.0
55903,0.0
55907,0.0
55915,0.0
55919,0.0
55927,0.0
55929,0.0
55935,0.0
55968,0.0
55969,0.0
55983,0.0
55987,0.0
55998,0.0
56000,0.0
56013,0.0
56029,0.0
56043,0.0
56068,0.0
56091,0.0
56094,0.0
56095,0.0
56100,0.0
56101,0.0
56103,0.0
56290,0.0
56293,0.0
56297,0.0
56301,0.0
56330,0.0
56331,0.0
56334,0.0
56337,0.0
56340,0.0
56352,0.0
56362,0.0
56364,0.0
56366,0.0
56376,0.0
56408,0.0
56444,0.0
56451,0.0
56458,0.0
56459,0.0
56481,0.0
56488,0.0
56489,0.0
56516,0.0
56517,0.0
56518,0.0
56521,0.0
56557,0.0
