PERMCO,dlrsn
7,0.0
194,0.0
211,0.0
282,0.0
374,0.0
727,0.0
1186,0.0
1239,0.0
1513,0.0
1686,0.0
2367,0.0
2427,0.0
2551,0.0
2552,0.0
3074,0.0
3083,0.0
3580,0.0
4090,1.0
4111,0.0
4456,0.0
4797,0.0
4879,0.0
5184,0.0
5195,0.0
5225,0.0
5253,0.0
5286,0.0
5708,0.0
5828,0.0
5869,0.0
6093,0.0
6244,0.0
6333,0.0
6533,0.0
6688,0.0
6689,0.0
6702,0.0
6785,1.0
6992,0.0
7013,0.0
7065,0.0
7103,0.0
7329,0.0
7378,0.0
7623,0.0
7864,0.0
7969,1.0
7980,0.0
8045,0.0
8048,0.0
8049,0.0
8125,0.0
8170,0.0
8377,0.0
8458,0.0
8476,0.0
8598,0.0
9010,0.0
9245,0.0
9312,0.0
9360,0.0
9558,0.0
9632,0.0
9654,0.0
9833,0.0
10210,0.0
10224,0.0
10256,0.0
10270,1.0
10323,0.0
10358,0.0
10359,0.0
10408,0.0
10486,0.0
10579,1.0
10634,0.0
10691,0.0
10759,0.0
10961,1.0
11050,0.0
11092,0.0
11100,0.0
11116,0.0
11157,0.0
11253,0.0
11361,0.0
11455,0.0
11469,0.0
11522,0.0
11537,0.0
11544,0.0
11649,0.0
11655,1.0
11679,0.0
11709,0.0
11789,0.0
11832,1.0
11946,0.0
12000,0.0
12011,0.0
12027,0.0
12032,0.0
12044,0.0
12083,0.0
12108,0.0
12127,1.0
12133,0.0
12165,0.0
12214,0.0
12234,1.0
12347,0.0
12434,0.0
12467,1.0
12539,0.0
12564,0.0
12583,0.0
12624,0.0
12793,0.0
12835,0.0
12843,0.0
12846,0.0
12865,0.0
12867,0.0
12924,0.0
12930,0.0
12933,0.0
13041,1.0
13094,1.0
13180,0.0
13252,0.0
13338,0.0
13384,0.0
13400,0.0
13447,0.0
13504,0.0
13521,0.0
13536,0.0
13539,0.0
13567,0.0
13587,0.0
13617,0.0
13682,0.0
13710,0.0
13739,0.0
13745,0.0
13747,0.0
13776,0.0
13852,0.0
13856,0.0
13876,0.0
13978,0.0
14143,0.0
14152,0.0
14161,0.0
14179,0.0
14201,0.0
14205,0.0
14249,0.0
14305,0.0
