,PERMCO,fyear,dlrsn
0,20000,2000,0.0
1,20000,2001,0.0
2,20000,2002,0.0
3,20000,2003,0.0
4,20000,2004,0.0
5,20000,2005,0.0
6,20000,2006,0.0
7,20000,2007,0.0
8,20000,2008,0.0
9,20000,2009,0.0
10,20000,2010,0.0
11,20000,2011,0.0
12,20000,2012,0.0
13,20000,2013,0.0
14,20000,2014,0.0
15,20000,2015,0.0
16,20000,2016,0.0
17,20000,2017,0.0
18,20000,2018,0.0
19,176,2000,0.0
20,176,2001,0.0
21,176,2002,0.0
22,176,2003,0.0
23,176,2004,0.0
24,176,2005,0.0
25,176,2006,0.0
26,176,2007,0.0
27,176,2008,0.0
28,176,2009,0.0
29,176,2010,0.0
30,176,2011,0.0
31,176,2012,0.0
32,176,2013,0.0
33,176,2014,0.0
34,176,2015,0.0
35,176,2016,0.0
36,176,2017,0.0
37,176,2018,0.0
38,176,2019,0.0
39,20015,2000,0.0
40,20015,2001,0.0
41,20015,2002,0.0
42,20015,2009,0.0
43,20015,2016,0.0
44,20015,2017,0.0
45,20015,2018,0.0
46,20015,2019,0.0
47,21409,2000,0.0
48,21409,2001,0.0
49,21409,2002,0.0
50,21409,2003,0.0
51,21409,2004,0.0
52,21409,2005,0.0
53,21409,2006,0.0
54,21409,2007,0.0
55,21409,2008,0.0
56,21409,2009,0.0
57,21409,2010,0.0
58,21409,2011,0.0
59,21409,2012,0.0
60,21409,2013,0.0
61,21409,2014,0.0
62,21409,2015,0.0
63,21409,2016,0.0
64,21409,2017,0.0
65,21409,2018,0.0
66,21409,2019,0.0
67,20017,2000,0.0
68,20017,2001,0.0
69,20017,2002,0.0
70,20017,2003,0.0
71,20017,2004,0.0
72,20017,2005,0.0
73,20017,2006,0.0
74,20017,2007,0.0
75,20017,2008,0.0
76,20017,2009,0.0
77,20017,2010,0.0
78,20017,2011,0.0
79,20017,2012,0.0
80,20017,2013,0.0
81,20017,2014,0.0
82,20017,2015,0.0
83,20017,2016,0.0
84,20017,2017,0.0
85,20017,2018,0.0
86,20017,2019,0.0
87,370,2000,0.0
88,370,2001,0.0
89,370,2002,0.0
90,370,2003,0.0
91,370,2004,0.0
92,370,2005,0.0
93,370,2006,0.0
94,370,2007,0.0
95,370,2008,0.0
96,370,2009,0.0
97,370,2010,0.0
98,370,2011,0.0
99,370,2012,0.0
100,370,2013,0.0
101,370,2014,0.0
102,370,2015,0.0
103,370,2016,0.0
104,370,2017,0.0
105,370,2018,0.0
106,370,2019,0.0
107,59,2000,0.0
108,59,2001,0.0
109,59,2002,0.0
110,59,2003,0.0
111,59,2004,0.0
112,59,2005,0.0
113,59,2006,0.0
114,59,2007,0.0
115,59,2008,0.0
116,59,2009,0.0
117,59,2010,0.0
118,59,2011,0.0
119,59,2012,0.0
120,59,2013,0.0
121,59,2014,0.0
122,59,2015,0.0
123,59,2016,0.0
124,59,2017,0.0
125,59,2018,0.0
126,59,2019,0.0
127,211,2000,0.0
128,211,2001,0.0
129,211,2002,0.0
130,211,2003,0.0
131,211,2004,0.0
132,211,2005,0.0
133,211,2006,0.0
134,211,2007,0.0
135,211,2008,0.0
136,211,2009,0.0
137,211,2010,0.0
138,211,2011,0.0
139,211,2012,0.0
140,211,2013,0.0
141,211,2014,0.0
142,211,2015,0.0
143,211,2016,0.0
144,211,2017,0.0
145,211,2018,0.0
146,211,2019,0.0
147,374,2000,0.0
148,374,2001,0.0
149,374,2002,0.0
150,374,2003,0.0
151,374,2004,0.0
152,374,2005,0.0
153,374,2006,0.0
154,374,2007,0.0
155,374,2008,0.0
156,374,2009,0.0
157,374,2010,0.0
158,374,2011,0.0
159,374,2012,0.0
160,374,2013,0.0
161,374,2014,0.0
162,26174,2000,0.0
