PERMCO_Y,NIMTA_t,NIMTA_t+1,TLMTA_t,TLMTA_t+1,CASHMTA_t,CASHMTA_t+1,MB_t,MB_t+1,SIGMA_t,SIGMA_t+1,RSIZE_t,RSIZE_t+1,EXRET_t,EXRET_t+1,PRICE_t,PRICE_t+1,gind_15,gind_20,gind_25,gind_30,gind_35,gind_40,gind_45,gind_50,gind_55,gind_60,y_t+2
10022_2002,0.05011178089658693,0.02491392801251956,0.034324898664414336,0.08777107086966242,0.021113455146013663,0.0265414710485133,4.675961806015943,2.6397575801488986,0.4840127002725294,0.2348915802343195,-11.460921319892789,-10.807302682542886,0.03416178284181665,0.05752925227298208,0.7827593392496325,1.308332819650179,0,0,0,0,1,0,0,0,0,0,0.0
10022_2003,0.02491392801251956,-0.06799911435092143,0.08777107086966242,0.11367249151252967,0.0265414710485133,0.07413053104881287,2.6397575801488986,2.025429522948325,0.2348915802343195,0.2257750642994041,-10.807302682542886,-11.913018343615393,0.05752925227298208,-0.9853251104722884,1.308332819650179,-0.06187540371808752,0,0,0,0,1,0,0,0,0,0,0.0
10022_2004,-0.06799911435092143,-0.04492361803769227,0.11367249151252967,0.11063572890965404,0.07413053104881287,0.09902094598141636,2.025429522948325,2.3439359141094114,0.2257750642994041,0.17533737012102232,-11.913018343615393,-11.98448550713162,-0.9853251104722884,0.1087199592539166,-0.06187540371808752,0.10436001532424287,0,0,0,0,1,0,0,0,0,0,0.0
10039_2002,0.012339199245227502,0.01268577784458439,0.9002039894117001,0.8790653256485789,0.0619791526791271,0.10501351213574506,1.1407166867203344,1.3847389544477202,0.05610121887646203,0.06704886085141352,-12.744435781321387,-12.277124017971806,0.23499948137663665,0.4677928838403989,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2003,0.01268577784458439,0.013282412974651915,0.8790653256485789,0.8623084656058801,0.10501351213574506,0.08109601674205955,1.3847389544477202,1.5275989171271045,0.06704886085141352,0.051326521482122966,-12.277124017971806,-11.784684093342113,0.4677928838403989,0.4151805931090269,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10039_2004,0.013282412974651915,0.01011328427301183,0.8623084656058801,0.8368695512886504,0.08109601674205955,0.04880028001368335,1.5275989171271045,1.8998184472787658,0.051326521482122966,0.0501679802137842,-11.784684093342113,-11.687774782578218,0.4151805931090269,0.05850428572790895,2.7080502011022096,2.7080502011022096,0,0,0,0,0,1,0,0,0,0,0.0
10059_2002,0.036925650779740686,0.03843272541847919,0.0969945627277978,0.09213152113012987,0.2504331892688562,0.21064029361217254,1.844105767940161,2.172015350229832,0.12037337799400767,0.10290851871735528,-13.155253514724023,-12.801536305751116,-0.29434228413021946,0.3860947424200013,1.6582280766035324,1.9095425048844383,0,0,0,1,0,0,0,0,0,0,0.0
10059_2003,0.03843272541847919,0.04788720043095348,0.09213152113012987,0.06905904313293161,0.21064029361217254,0.21619708605289198,2.172015350229832,2.147016631971581,0.10290851871735528,0.12118405949595043,-12.801536305751116,-12.516324336395288,0.3860947424200013,0.2206329559586664,1.9095425048844383,1.9526019943448851,0,0,0,1,0,0,0,0,0,0,0.0
10059_2004,0.04788720043095348,0.03770114630488045,0.06905904313293161,0.0331199989140984,0.21619708605289198,0.18495958409968574,2.147016631971581,2.86182053030752,0.12118405949595043,0.14600627865100527,-12.516324336395288,-12.10352737587337,0.2206329559586664,0.4134556939877952,1.9526019943448851,2.6034301519721077,0,0,0,1,0,0,0,0,0,0,0.0
10107_2002,0.009740591661338284,0.024591792141750432,0.014387553383081206,0.027351100292183288,0.021920819905499808,0.07011820962796292,6.792268445393907,4.571546912557546,1.0516533920377522,0.12131811703100742,-8.96643600041714,-8.83060498659715,-0.4855783499948515,0.4649201082168902,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10107_2003,0.024591792141750432,0.022521819517294237,0.027351100292183288,0.02634048408712665,0.07011820962796292,0.0805771430013508,4.571546912557546,3.8689328295529455,0.12131811703100742,0.09795488026633667,-8.83060498659715,-8.829560066172789,0.4649201082168902,0.1767313063197808,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10107_2004,0.022521819517294237,0.035790829423852484,0.02634048408712665,0.021019109887212686,0.0805771430013508,0.09263940100740352,3.8689328295529455,3.683218269618036,0.09795488026633667,0.11587161505483325,-8.829560066172789,-8.798404664855868,0.1767313063197808,0.2487245795450141,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10108_2002,-0.053840895419910745,-0.09232402804113313,0.06006431601925277,0.07257530212219193,0.12282898404510327,0.1206333114120788,2.072632411799953,3.1433469441162334,0.5418125355100573,0.2730267163814326,-10.186095903376156,-9.82144562323944,-0.3530827791528195,0.3813270597791653,2.7080502011022096,2.7080502011022096,0,0,0,0,1,0,0,0,0,0,0.0
10108_2003,-0.09232402804113313,-0.691987084045848,0.07257530212219193,0.39211502144091065,0.1206333114120788,0.5864363082253367,3.1433469441162334,0.9346513727248824,0.2730267163814326,0.3445012305223385,-9.82144562323944,-11.770383486072555,0.3813270597791653,-1.6129962345942468,2.7080502011022096,1.2470322937863831,0,0,0,0,1,0,0,0,0,0,0.0
10108_2004,-0.691987084045848,-0.3161964252869756,0.39211502144091065,0.3047307901281374,0.5864363082253367,0.2479663825040186,0.9346513727248824,3.2462236360292214,0.3445012305223385,0.33256920230436704,-11.770383486072555,-11.554636378786745,-1.6129962345942468,-0.3418613556648528,1.2470322937863831,1.6900958154515549,0,0,0,0,1,0,0,0,0,0,0.0
10147_2002,0.06460871959128238,0.13733609210415146,0.8333477868328514,0.8439640665230531,0.05186546325252933,0.02870155025217088,3.1273519391607083,0.7468734948258497,0.185402055101482,0.1719137702568573,-12.440120055471981,-12.27395136885227,-0.05099602549849013,-0.20547264532202375,0.4462871026284195,0.3646431135879093,0,0,0,0,0,0,0,0,0,0,0.0
10147_2003,0.13733609210415146,0.2733970320831943,0.8439640665230531,0.3806397570094731,0.02870155025217088,0.2552517417272213,0.7468734948258497,1.285103482306141,0.1719137702568573,0.2111244699503704,-12.27395136885227,-10.474477421847144,-0.20547264532202375,1.6002889348593818,0.3646431135879093,1.8640801308076809,0,0,0,0,0,0,0,0,0,0,0.0
10147_2004,0.2733970320831943,0.054661941030450564,0.3806397570094731,0.2893401106692589,0.2552517417272213,0.2776281246227389,1.285103482306141,1.6491779136178952,0.2111244699503704,0.12991369781204604,-10.474477421847144,-10.281469426376873,1.6002889348593818,0.2488082617377125,1.8640801308076809,2.2975725511705014,0,0,0,0,0,0,0,0,0,0,0.0
